Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
engagement rings,USD,823000,-18%,0%,High,100,1.79,7.25,4%
jewlery store near me,USD,673000,0%,0%,High,99,0.91,4.11,8%
jewellry stores,USD,550000,-33%,-33%,High,83,1.00,4.50,6%
jewellery jewellery shop,USD,550000,-33%,-33%,High,83,1.00,4.50,6%
diamonds,USD,450000,0%,-18%,High,67,2.61,9.28,< 1%
wedding ring wedding ring,USD,368000,0%,0%,High,100,1.19,3.67,7%
wedding rings,USD,368000,0%,0%,High,100,1.19,3.67,7%
wedding band ring,USD,368000,0%,0%,High,100,1.19,3.67,7%
a wedding ring,USD,368000,0%,0%,High,100,1.19,3.67,7%
mens wedding bands,USD,246000,0%,0%,High,100,1.37,4.12,3%
guys wedding rings,USD,246000,0%,0%,High,100,1.37,4.12,3%
diamond rings,USD,246000,22%,309%,High,100,1.46,4.00,6%
moissanite,USD,246000,0%,-18%,High,100,0.67,3.25,1%
male wedding bands,USD,246000,0%,0%,High,100,1.37,4.12,3%
wedding bands for him,USD,246000,0%,0%,High,100,1.37,4.12,3%
moissanites,USD,246000,0%,-18%,High,100,0.67,3.25,1%
men marriage rings,USD,246000,0%,0%,High,100,1.37,4.12,3%
guys wedding bands,USD,246000,0%,0%,High,100,1.37,4.12,3%
a diamond ring,USD,246000,22%,309%,High,100,1.46,4.00,6%
masculine wedding bands,USD,246000,0%,0%,High,100,1.37,4.12,3%
man rings wedding,USD,246000,0%,0%,High,100,1.37,4.12,3%
male marriage ring,USD,246000,0%,0%,High,100,1.37,4.12,3%
bands for mens wedding,USD,246000,0%,0%,High,100,1.37,4.12,3%
gents wedding ring,USD,246000,0%,0%,High,100,1.37,4.12,3%
marriage bands for men,USD,246000,0%,0%,High,100,1.37,4.12,3%
men married ring,USD,246000,0%,0%,High,100,1.37,4.12,3%
mens bridal rings,USD,246000,0%,0%,High,100,1.37,4.12,3%
mens marriage band,USD,246000,0%,0%,High,100,1.37,4.12,3%
marriage rings for guys,USD,246000,0%,0%,High,100,1.37,4.12,3%
men with wedding band,USD,246000,0%,0%,High,100,1.37,4.12,3%
men with wedding ring,USD,246000,0%,0%,High,100,1.37,4.12,3%
moissanite rings,USD,165000,-19%,-63%,High,100,0.68,2.76,1%
lab grown diamond,USD,165000,0%,23%,High,99,2.40,10.26,3%
engineered diamonds,USD,165000,0%,23%,High,99,2.40,10.26,3%
engagement rings for women,USD,135000,-19%,0%,High,100,1.68,5.61,9%
female engagement rings,USD,135000,-19%,0%,High,100,1.68,5.61,9%
wedding bands,USD,110000,-19%,0%,High,100,1.41,4.36,2%
diamond earrings,USD,110000,-18%,-18%,High,100,1.03,5.54,4%
moissanite engagement rings,USD,110000,-45%,-33%,High,100,1.11,4.38,2%
gold jewlary,USD,110000,50%,123%,High,100,0.80,2.73,< 1%
lab grown diamond rings,USD,90500,-33%,22%,High,100,2.40,10.60,13%
lab created diamond rings,USD,90500,-33%,22%,High,100,2.40,10.60,13%
lab grown diamond engagement rings,USD,90500,-33%,22%,High,100,2.40,10.60,13%
lab created diamond engagement rings,USD,90500,-33%,22%,High,100,2.40,10.60,13%
lab made diamond rings,USD,90500,-33%,22%,High,100,2.40,10.60,13%
lab created diamond band,USD,90500,-33%,22%,High,100,2.40,10.60,13%
manly bands,USD,74000,-18%,0%,High,100,1.19,2.82,< 1%
wedding rings for women,USD,74000,-18%,-18%,High,100,0.94,3.25,12%
emerald cut engagement rings,USD,74000,-18%,22%,High,100,1.60,4.69,1%
oval engagement rings,USD,74000,-18%,0%,High,100,1.66,4.27,2%
marquise diamond,USD,74000,-18%,234%,High,100,1.26,3.70,< 1%
oval wedding rings,USD,74000,-18%,0%,High,100,1.66,4.27,2%
emerald cut wedding rings,USD,74000,-18%,22%,High,100,1.60,4.69,1%
jwellery,USD,74000,232%,396%,High,84,1.12,4.58,< 1%
